_type,url,date,content,renderedContent,id,user,replyCount,retweetCount,likeCount,quoteCount,conversationId,lang,source,sourceUrl,sourceLabel,outlinks,tcooutlinks,media,retweetedTweet,quotedTweet,inReplyToTweetId,inReplyToUser,mentionedUsers,coordinates,place,hashtags,cashtags
snscrape.modules.twitter.Tweet,https://twitter.com/dicasbh/status/1454422100714803203,2021-10-30 12:17:05+00:00,Prazo de inscrição para o vestibular do IFMG termina no dia 04/11 https://t.co/onOpNWTv63 https://t.co/N1LawuwtXu,Prazo de inscrição para o vestibular do IFMG termina no dia 04/11 dlvr.it/SBZq4w https://t.co/N1LawuwtXu,1454422100714803203,"{'_type': 'snscrape.modules.twitter.User', 'username': 'dicasbh', 'id': 4432091416, 'displayname': 'dicasbh', 'description': 'Veja as melhores dicas de Belo Horizonte, promoções e sorteios!\n\nE-mail para parcerias: contato@dicasbh.com.br', 'rawDescription': 'Veja as melhores dicas de Belo Horizonte, promoções e sorteios!\n\nE-mail para parcerias: contato@dicasbh.com.br', 'descriptionUrls': None, 'verified': False, 'created': '2015-12-10T00:32:11+00:00', 'followersCount': 830, 'friendsCount': 6, 'statusesCount': 7500, 'favouritesCount': 11, 'listedCount': 4, 'mediaCount': 3280, 'location': 'Belo Horizonte, Brasil', 'protected': False, 'linkUrl': 'http://www.dicasbh.com.br', 'linkTcourl': 'https://t.co/tXEHgDIkzd', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/871784686732881920/liOtQZJ3_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/4432091416/1496684673', 'url': 'https://twitter.com/dicasbh'}",0,0,0,0,1454422100714803203,pt,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",https://dlvrit.com/,dlvr.it,['http://dlvr.it/SBZq4w'],['https://t.co/onOpNWTv63'],"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/FC8lMXUUcAIPoXH?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/FC8lMXUUcAIPoXH?format=jpg&name=large'}]",,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/BeloHorizonte/status/1454391441518735365,2021-10-30 10:15:15+00:00,Prazo de inscrição para o vestibular do IFMG termina no dia 04/11 https://t.co/lWDpZFVOhJ,Prazo de inscrição para o vestibular do IFMG termina no dia 04/11 https://t.co/lWDpZFVOhJ,1454391441518735365,"{'_type': 'snscrape.modules.twitter.User', 'username': 'BeloHorizonte', 'id': 14197417, 'displayname': 'Belo Horizonte', 'description': 'Twitter colaborativo sobre Belo Horizonte, a capital de Minas Gerais, terra de bares e pão de queijo', 'rawDescription': 'Twitter colaborativo sobre Belo Horizonte, a capital de Minas Gerais, terra de bares e pão de queijo', 'descriptionUrls': None, 'verified': False, 'created': '2008-03-22T15:15:11+00:00', 'followersCount': 11671, 'friendsCount': 7, 'statusesCount': 23768, 'favouritesCount': 22, 'listedCount': 137, 'mediaCount': 5104, 'location': 'Belo Horizonte, MG, Brasil', 'protected': False, 'linkUrl': 'https://www.belohorizonte.com.br', 'linkTcourl': 'https://t.co/bXE7arJOxv', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1181626462719356929/A6cSqjaC_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/14197417/1409837099', 'url': 'https://twitter.com/BeloHorizonte'}",0,0,1,0,1454391441518735365,pt,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",https://ifttt.com,IFTTT,,,"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/FC8JTxGX0AMMTpC?format=png&name=small', 'fullUrl': 'https://pbs.twimg.com/media/FC8JTxGX0AMMTpC?format=png&name=large'}]",,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/sejabixo/status/1454247176964608010,2021-10-30 00:42:00+00:00,"Prazo de inscrição para o vestibular do IFMG termina no dia 04/11    

https://t.co/xeObJm4MQ4    

#vestibular #sejabixo #vestibular2022 #IFMG @ifmgnarede","Prazo de inscrição para o vestibular do IFMG termina no dia 04/11    

sejabixo.com.br/vestibular/pra…    

#vestibular #sejabixo #vestibular2022 #IFMG @ifmgnarede",1454247176964608010,"{'_type': 'snscrape.modules.twitter.User', 'username': 'sejabixo', 'id': 40006201, 'displayname': 'sejabixo vestibular', 'description': 'Portal do Vestibulando - Dicas de preparação, simulados online, notícias de vestibulares de todo o Brasil, Enem e muito mais. Siga-nos!', 'rawDescription': 'Portal do Vestibulando - Dicas de preparação, simulados online, notícias de vestibulares de todo o Brasil, Enem e muito mais. Siga-nos!', 'descriptionUrls': None, 'verified': False, 'created': '2009-05-14T14:39:42+00:00', 'followersCount': 6716, 'friendsCount': 1206, 'statusesCount': 108432, 'favouritesCount': 1146, 'listedCount': 94, 'mediaCount': 3149, 'location': 'São Paulo', 'protected': False, 'linkUrl': 'http://www.sejabixo.com.br', 'linkTcourl': 'http://t.co/Tj2x5MxKMn', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/234501307/logo_sb_twitter2_normal.gif', 'profileBannerUrl': None, 'url': 'https://twitter.com/sejabixo'}",0,0,0,0,1454247176964608010,pt,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",https://about.twitter.com/products/tweetdeck,TweetDeck,['https://www.sejabixo.com.br/vestibular/prazo-de-inscricao-para-o-vestibular-do-ifmg-termina-no-dia-04-11/'],['https://t.co/xeObJm4MQ4'],,,,,,"[{'_type': 'snscrape.modules.twitter.User', 'username': 'ifmgnarede', 'id': 132275980, 'displayname': 'IFMG', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/ifmgnarede'}]",,,"['vestibular', 'sejabixo', 'vestibular2022', 'IFMG']",
snscrape.modules.twitter.Tweet,https://twitter.com/Cacahuatinho/status/1454119835974123528,2021-10-29 16:15:59+00:00,Esse IFMG tá de palhaçada com a minha cara,Esse IFMG tá de palhaçada com a minha cara,1454119835974123528,"{'_type': 'snscrape.modules.twitter.User', 'username': 'Cacahuatinho', 'id': 952504422575362049, 'displayname': 'Rubisco🦠', 'description': 'Tudo é viável para quem faz com prazer | @lechuga_chan♡🤠', 'rawDescription': 'Tudo é viável para quem faz com prazer | @lechuga_chan♡🤠', 'descriptionUrls': None, 'verified': False, 'created': '2018-01-14T11:35:25+00:00', 'followersCount': 341, 'friendsCount': 429, 'statusesCount': 30527, 'favouritesCount': 104890, 'listedCount': 0, 'mediaCount': 26, 'location': 'ES/MG', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1470247363600076804/ZUCnv_5s_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/952504422575362049/1637966936', 'url': 'https://twitter.com/Cacahuatinho'}",0,0,0,0,1454119835974123528,pt,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/jornalvozativa/status/1454085922379685894,2021-10-29 14:01:14+00:00,Prazo de inscrição para o vestibular do IFMG termina na próxima quinta (04/11) https://t.co/cjFToJfXzT,Prazo de inscrição para o vestibular do IFMG termina na próxima quinta (04/11) jornalvozativa.com/noticias/inscr…,1454085922379685894,"{'_type': 'snscrape.modules.twitter.User', 'username': 'jornalvozativa', 'id': 237919770, 'displayname': 'jornalvozativa.com', 'description': 'De Ouro Preto-MG para o mundo\nfacebook.com/jornalvozativa\nyoutube.com/jornalvozativa\n31 99145-4108 WhatsApp', 'rawDescription': 'De Ouro Preto-MG para o mundo\nhttps://t.co/3XvWxyFkHY\nhttps://t.co/73fgJDGmV6\n31 99145-4108 WhatsApp', 'descriptionUrls': [{'text': 'facebook.com/jornalvozativa', 'url': 'http://facebook.com/jornalvozativa', 'tcourl': 'https://t.co/3XvWxyFkHY', 'indices': [30, 53]}, {'text': 'youtube.com/jornalvozativa', 'url': 'http://youtube.com/jornalvozativa', 'tcourl': 'https://t.co/73fgJDGmV6', 'indices': [54, 77]}], 'verified': False, 'created': '2011-01-13T23:19:59+00:00', 'followersCount': 1464, 'friendsCount': 593, 'statusesCount': 43769, 'favouritesCount': 99, 'listedCount': 6, 'mediaCount': 810, 'location': 'Ouro Preto - MG Brasil', 'protected': False, 'linkUrl': 'http://www.jornalvozativa.com', 'linkTcourl': 'https://t.co/n86tNkfDCP', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/2743747392/11ee4bd4a6814da9112ee338f7839704_normal.jpeg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/237919770/1590014328', 'url': 'https://twitter.com/jornalvozativa'}",0,0,0,0,1454085922379685894,pt,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",http://publicize.wp.com/,WordPress.com,['https://jornalvozativa.com/noticias/inscricao-vestibular-ifmg-termina-quinta/'],['https://t.co/cjFToJfXzT'],,,,,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/sejabixo/status/1454083831250800647,2021-10-29 13:52:55+00:00,#vestibular | Prazo de inscrição para o vestibular do IFMG termina no dia 04/11 https://t.co/WcTCRNazoH,#vestibular | Prazo de inscrição para o vestibular do IFMG termina no dia 04/11 is.gd/I2aBOD,1454083831250800647,"{'_type': 'snscrape.modules.twitter.User', 'username': 'sejabixo', 'id': 40006201, 'displayname': 'sejabixo vestibular', 'description': 'Portal do Vestibulando - Dicas de preparação, simulados online, notícias de vestibulares de todo o Brasil, Enem e muito mais. Siga-nos!', 'rawDescription': 'Portal do Vestibulando - Dicas de preparação, simulados online, notícias de vestibulares de todo o Brasil, Enem e muito mais. Siga-nos!', 'descriptionUrls': None, 'verified': False, 'created': '2009-05-14T14:39:42+00:00', 'followersCount': 6716, 'friendsCount': 1206, 'statusesCount': 108432, 'favouritesCount': 1146, 'listedCount': 94, 'mediaCount': 3149, 'location': 'São Paulo', 'protected': False, 'linkUrl': 'http://www.sejabixo.com.br', 'linkTcourl': 'http://t.co/Tj2x5MxKMn', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/234501307/logo_sb_twitter2_normal.gif', 'profileBannerUrl': None, 'url': 'https://twitter.com/sejabixo'}",0,0,1,0,1454083831250800647,pt,"<a href=""https://wordpress.org/plugins/tweet-old-post/"" rel=""nofollow"">revivesejabixo</a>",https://wordpress.org/plugins/tweet-old-post/,revivesejabixo,['https://is.gd/I2aBOD'],['https://t.co/WcTCRNazoH'],,,,,,,,,['vestibular'],
snscrape.modules.twitter.Tweet,https://twitter.com/dugomexx/status/1453866906780307457,2021-10-28 23:30:56+00:00,@tetecocity O IFMG,@tetecocity O IFMG,1453866906780307457,"{'_type': 'snscrape.modules.twitter.User', 'username': 'dugomexx', 'id': 1118219227926859782, 'displayname': 'Gay sem paz…', 'description': 'Tá me estalkeando né vagabunda…', 'rawDescription': 'Tá me estalkeando né vagabunda…', 'descriptionUrls': None, 'verified': False, 'created': '2019-04-16T18:26:54+00:00', 'followersCount': 84, 'friendsCount': 177, 'statusesCount': 7922, 'favouritesCount': 4627, 'listedCount': 0, 'mediaCount': 419, 'location': 'Belory Hills', 'protected': False, 'linkUrl': 'https://www.instagram.com/dugomexx/', 'linkTcourl': 'https://t.co/I5EoDNP1Px', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1440370768680873986/9QfaOaJO_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1118219227926859782/1630929146', 'url': 'https://twitter.com/dugomexx'}",1,0,0,0,1453866316037861383,pt,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,,,1.4538664630440223e+18,"{'_type': 'snscrape.modules.twitter.User', 'username': 'tetecocity', 'id': 1029799276879249408, 'displayname': '𝔫𝔞𝔞𝔶 ¹¹ 𖤍 arsd📌', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/tetecocity'}","[{'_type': 'snscrape.modules.twitter.User', 'username': 'tetecocity', 'id': 1029799276879249408, 'displayname': '𝔫𝔞𝔞𝔶 ¹¹ 𖤍 arsd📌', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/tetecocity'}]","{'_type': 'snscrape.modules.twitter.Coordinates', 'longitude': -44.062789, 'latitude': -20.059816}","{'_type': 'snscrape.modules.twitter.Place', 'fullName': 'Belo Horizonte, Brazil', 'name': 'Belo Horizonte', 'type': 'city', 'country': 'Brazil', 'countryCode': 'BR'}",,
snscrape.modules.twitter.Tweet,https://twitter.com/marco57thulio/status/1453861790811574274,2021-10-28 23:10:37+00:00,Ano passado durante minha fala no novembro negro do IFMG  defendi essa questao aqui e agora o STF consolida esse entendimento. Importante avanço! https://t.co/sL1JT10jJu,Ano passado durante minha fala no novembro negro do IFMG  defendi essa questao aqui e agora o STF consolida esse entendimento. Importante avanço! twitter.com/thiamparo/stat…,1453861790811574274,"{'_type': 'snscrape.modules.twitter.User', 'username': 'marco57thulio', 'id': 2705413456, 'displayname': 'gostoso&intelectual', 'description': 'ele é tão interessante e eu aqui pichando muro', 'rawDescription': 'ele é tão interessante e eu aqui pichando muro', 'descriptionUrls': None, 'verified': False, 'created': '2014-07-13T01:19:55+00:00', 'followersCount': 719, 'friendsCount': 670, 'statusesCount': 14675, 'favouritesCount': 6891, 'listedCount': 0, 'mediaCount': 66, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1449559983578914817/tHcSe6FZ_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2705413456/1620866796', 'url': 'https://twitter.com/marco57thulio'}",0,0,3,0,1453861790811574274,pt,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,['https://twitter.com/thiamparo/status/1453859440978010115'],['https://t.co/sL1JT10jJu'],,,"{'_type': 'snscrape.modules.twitter.Tweet', 'url': 'https://twitter.com/thiamparo/status/1453859440978010115', 'date': '2021-10-28T23:01:16+00:00', 'content': '“Negrinha nojenta, ignorante e atrevida"". Este foi o insulto que uma senhora, hoje com 80 anos, disse a uma frentista negra no DF. Neste caso (154.248), o STF reconheceu hoje que injúria racial é espécie do gênero racismo e, portanto, imprescritível pela CF/88. Nunes foi contra.', 'renderedContent': '“Negrinha nojenta, ignorante e atrevida"". Este foi o insulto que uma senhora, hoje com 80 anos, disse a uma frentista negra no DF. Neste caso (154.248), o STF reconheceu hoje que injúria racial é espécie do gênero racismo e, portanto, imprescritível pela CF/88. Nunes foi contra.', 'id': 1453859440978010115, 'user': {'_type': 'snscrape.modules.twitter.User', 'username': 'thiamparo', 'id': 23166886, 'displayname': 'Thiago Amparo', 'description': 'OPINIÕES PESSOAIS 🌈 Adv. Prof @fgvdireitosp @fgvri Colunista @folha PhD @ceuhungary Visiting Scholar @columbia. Post-Doctoral Global Fellow @nyulaw. Ele/Dele', 'rawDescription': 'OPINIÕES PESSOAIS 🌈 Adv. Prof @fgvdireitosp @fgvri Colunista @folha PhD @ceuhungary Visiting Scholar @columbia. Post-Doctoral Global Fellow @nyulaw. Ele/Dele', 'descriptionUrls': None, 'verified': True, 'created': '2009-03-07T05:00:41+00:00', 'followersCount': 141558, 'friendsCount': 6348, 'statusesCount': 40764, 'favouritesCount': 38518, 'listedCount': 639, 'mediaCount': 2430, 'location': 'Sao Paulo, Brazil', 'protected': False, 'linkUrl': 'https://linktr.ee/thiamparo', 'linkTcourl': 'https://t.co/9QaKl9Ar5Q', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1455716337318252545/xyyF32cz_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/23166886/1585133458', 'url': 'https://twitter.com/thiamparo'}, 'replyCount': 65, 'retweetCount': 730, 'likeCount': 11632, 'quoteCount': 54, 'conversationId': 1453859440978010115, 'lang': 'pt', 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'sourceUrl': 'http://twitter.com/download/iphone', 'sourceLabel': 'Twitter for iPhone', 'outlinks': None, 'tcooutlinks': None, 'media': None, 'retweetedTweet': None, 'quotedTweet': None, 'inReplyToTweetId': None, 'inReplyToUser': None, 'mentionedUsers': None, 'coordinates': {'_type': 'snscrape.modules.twitter.Coordinates', 'longitude': -74.026675, 'latitude': 40.683935}, 'place': {'_type': 'snscrape.modules.twitter.Place', 'fullName': 'Manhattan, NY', 'name': 'Manhattan', 'type': 'city', 'country': 'United States', 'countryCode': 'US'}, 'hashtags': None, 'cashtags': None}",,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/pjmoonz/status/1453806965851893760,2021-10-28 19:32:45+00:00,julgo quem estuda mas eu daria tudo pra estudar no ifmg https://t.co/0RBTus9Ed7,julgo quem estuda mas eu daria tudo pra estudar no ifmg twitter.com/ciclopin/statu…,1453806965851893760,"{'_type': 'snscrape.modules.twitter.User', 'username': 'pjmoonz', 'id': 1184459325487624192, 'displayname': 'sun¹¹ snowdrop 13/18', 'description': ""⠀⠀ #𝐁𝐀𝐍𝐆𝐏𝐈𝐍𝐊: 𝗒𝖾𝗌 𝗂 𝗄𝗇𝗈𝗐 𝗍𝗁𝖺𝗍 𝗂'𝗆 𝗶𝗰𝗼𝗻𝗶𝗰 ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏͏ ͏ ͏ ͏ ͏"", 'rawDescription': ""⠀⠀ #𝐁𝐀𝐍𝐆𝐏𝐈𝐍𝐊: 𝗒𝖾𝗌 𝗂 𝗄𝗇𝗈𝗐 𝗍𝗁𝖺𝗍 𝗂'𝗆 𝗶𝗰𝗼𝗻𝗶𝗰 ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏͏ ͏ ͏ ͏ ͏"", 'descriptionUrls': None, 'verified': False, 'created': '2019-10-16T13:21:40+00:00', 'followersCount': 6174, 'friendsCount': 6385, 'statusesCount': 34849, 'favouritesCount': 27045, 'listedCount': 33, 'mediaCount': 3237, 'location': 'formula of love ', 'protected': False, 'linkUrl': 'http://multi.xn--6ii/', 'linkTcourl': 'https://t.co/IZdJAebaca', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1460437393425768453/PGKBOfHE_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1184459325487624192/1637030362', 'url': 'https://twitter.com/pjmoonz'}",1,0,0,0,1453806965851893760,pt,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,['https://twitter.com/ciclopin/status/1453738468975288320'],['https://t.co/0RBTus9Ed7'],,,"{'_type': 'snscrape.modules.twitter.Tweet', 'url': 'https://twitter.com/ciclopin/status/1453738468975288320', 'date': '2021-10-28T15:00:34+00:00', 'content': 'estuda/estudou em um IF = tem serias sequelas', 'renderedContent': 'estuda/estudou em um IF = tem serias sequelas', 'id': 1453738468975288320, 'user': {'_type': 'snscrape.modules.twitter.User', 'username': 'ciclopin', 'id': 1009918359402631168, 'displayname': 'ciclopin', 'description': 'muüzz??🤨🤨 | ex-integrante da one direction.—contato pelo: ciclopin@gaiah.ag 💖💜💙', 'rawDescription': 'muüzz??🤨🤨 | ex-integrante da one direction.—contato pelo: ciclopin@gaiah.ag 💖💜💙', 'descriptionUrls': None, 'verified': True, 'created': '2018-06-21T21:57:55+00:00', 'followersCount': 591550, 'friendsCount': 1077, 'statusesCount': 34492, 'favouritesCount': 41243, 'listedCount': 336, 'mediaCount': 2191, 'location': 'São Paulo, Brazil ', 'protected': False, 'linkUrl': 'http://instagram.com/ciclopiin', 'linkTcourl': 'https://t.co/Y5FI3Uy3CH', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1457932982715658243/ql6vcvJu_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1009918359402631168/1631223134', 'url': 'https://twitter.com/ciclopin'}, 'replyCount': 644, 'retweetCount': 3013, 'likeCount': 17180, 'quoteCount': 1444, 'conversationId': 1453738468975288320, 'lang': 'pt', 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'sourceUrl': 'http://twitter.com/download/iphone', 'sourceLabel': 'Twitter for iPhone', 'outlinks': None, 'tcooutlinks': None, 'media': None, 'retweetedTweet': None, 'quotedTweet': None, 'inReplyToTweetId': None, 'inReplyToUser': None, 'mentionedUsers': None, 'coordinates': None, 'place': None, 'hashtags': None, 'cashtags': None}",,,,,,,
snscrape.modules.twitter.Tweet,https://twitter.com/blog_silas/status/1453732570038870030,2021-10-28 14:37:08+00:00,Oportunidade: Processo seletivo para cursos profissionalizantes gratuitos IFMG Campus Ipatinga https://t.co/znJ1fkWwU6 via @Blog do Silas https://t.co/OQROFfpVtN,Oportunidade: Processo seletivo para cursos profissionalizantes gratuitos IFMG Campus Ipatinga blogdosilas.com.br/oportunidade-p… via @Blog do Silas https://t.co/OQROFfpVtN,1453732570038870030,"{'_type': 'snscrape.modules.twitter.User', 'username': 'blog_silas', 'id': 1386324401461899266, 'displayname': 'Blog do Silas', 'description': 'blogdosilas.com.br', 'rawDescription': 'https://t.co/NNCepu4YJi', 'descriptionUrls': [{'text': 'blogdosilas.com.br', 'url': 'http://blogdosilas.com.br', 'tcourl': 'https://t.co/NNCepu4YJi', 'indices': [0, 23]}], 'verified': False, 'created': '2021-04-25T14:21:24+00:00', 'followersCount': 21, 'friendsCount': 597, 'statusesCount': 1908, 'favouritesCount': 0, 'listedCount': 0, 'mediaCount': 1704, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1462077312409743361/F2vj1q1r_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1386324401461899266/1637461326', 'url': 'https://twitter.com/blog_silas'}",0,0,0,0,1453732570038870030,pt,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,['https://blogdosilas.com.br/oportunidade-processo-seletivo-para-cursos-profissionalizantes-gratuitos-ifmg-campus-ipatinga/'],['https://t.co/znJ1fkWwU6'],"[{'_type': 'snscrape.modules.twitter.Photo', 'previewUrl': 'https://pbs.twimg.com/media/FCyyDxnVIAwEDGg?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/FCyyDxnVIAwEDGg?format=jpg&name=large'}]",,,,,"[{'_type': 'snscrape.modules.twitter.User', 'username': 'blog', 'id': 2629591, 'displayname': 'steve', 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/blog'}]",,,,
